City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,74.55,few clouds,-0.7393,-90.3518,No hotel found
3,Isiro,CD,65.73,broken clouds,2.7739,27.616,No hotel found
4,Porto Velho,BR,71.65,light rain,-8.7619,-63.9039,No hotel found
5,Hilo,US,82.27,few clouds,19.7297,-155.09,No hotel found
8,Labuhan,ID,84.7,overcast clouds,-6.8844,112.2051,No hotel found
9,Kruisfontein,ZA,65.88,clear sky,-34.0033,24.7314,No hotel found
10,Sao Filipe,CV,72.81,few clouds,14.8961,-24.4956,No hotel found
15,Salalah,OM,69.89,clear sky,17.0151,54.0924,No hotel found
17,Torres,BR,74.82,overcast clouds,-29.3353,-49.7269,No hotel found
18,Victoria,HK,65.25,overcast clouds,22.2855,114.1577,No hotel found
19,Hithadhoo,MV,80.13,light rain,-0.6,73.0833,No hotel found
21,Kapaa,US,77.32,broken clouds,22.0752,-159.319,No hotel found
23,Naze,JP,61.72,clear sky,28.3667,129.4833,No hotel found
26,Rikitea,PF,78.3,overcast clouds,-23.1203,-134.9692,No hotel found
30,Port Elizabeth,ZA,68.31,few clouds,-33.918,25.5701,No hotel found
31,Castro,BR,62.82,overcast clouds,-24.7911,-50.0119,No hotel found
32,Hambantota,LK,79.14,few clouds,6.1241,81.1185,No hotel found
33,Veraval,IN,68.47,clear sky,20.9,70.3667,No hotel found
34,Dzilam Gonzalez,MX,74.64,scattered clouds,21.2833,-88.9333,No hotel found
36,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,No hotel found
38,Arraial Do Cabo,BR,73.94,clear sky,-22.9661,-42.0278,No hotel found
39,Alofi,NU,85.89,scattered clouds,-19.0595,-169.9187,No hotel found
40,Carauari,BR,71.62,overcast clouds,-4.8828,-66.8958,No hotel found
41,Turan,VN,75.18,broken clouds,16.0678,108.2208,No hotel found
42,Mahebourg,MU,77.25,thunderstorm with rain,-20.4081,57.7,No hotel found
44,Vaini,TO,86.16,light rain,-21.2,-175.2,No hotel found
45,Hobart,AU,69.66,scattered clouds,-42.8794,147.3294,No hotel found
47,Goma,CD,62.78,overcast clouds,-1.6792,29.2228,No hotel found
48,Busselton,AU,83.66,clear sky,-33.65,115.3333,No hotel found
49,Luganville,VU,77.13,overcast clouds,-15.5333,167.1667,No hotel found
51,Manga,BF,69.96,clear sky,11.6636,-1.0731,No hotel found
54,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,No hotel found
